R-Peak Detected	 	RR Interval(ms)	Abnormal or Normal
270347	269688	659	Normal Interval
271005	270347	658	Normal Interval
271644	271005	639	Normal Interval
272247	271644	603	Normal Interval
272858	272247	611	Normal Interval
273477	272858	619	Normal Interval
274075	273477	598	Small Interval (RR<600ms)
274663	274075	588	Small Interval (RR<600ms)
275280	274663	617	Normal Interval
275927	275280	647	Normal Interval
276569	275927	642	Normal Interval
277191	276569	622	Normal Interval
